source_id,target_id,dependency_type,lag_months,lag_weeks,lag_days,lag_hours
154,432,FS,0,0,0,0
456,432,FS,0,0,0,0
154,433,FS,0,0,0,0
457,433,FS,0,0,0,0
154,434,FS,0,0,0,0
458,434,FS,0,0,0,0
154,435,FS,0,0,0,0
459,435,FS,0,0,0,0
154,436,FS,0,0,0,0
460,436,FS,0,0,0,0
154,437,FS,0,0,0,0
461,437,FS,0,0,0,0
154,438,FS,0,0,0,0
462,438,FS,0,0,0,0
154,439,FS,0,0,0,0
463,439,FS,0,0,0,0
154,440,FS,0,0,0,0
464,440,FS,0,0,0,0
154,441,FS,0,0,0,0
465,441,FS,0,0,0,0
154,442,FS,0,0,0,0
466,442,FS,0,0,0,0
154,443,FS,0,0,0,0
467,443,FS,0,0,0,0
154,444,FS,0,0,0,0
468,444,FS,0,0,0,0
154,445,FS,0,0,0,0
469,445,FS,0,0,0,0
154,446,FS,0,0,0,0
470,446,FS,0,0,0,0
154,447,FS,0,0,0,0
471,447,FS,0,0,0,0
154,448,FS,0,0,0,0
472,448,FS,0,0,0,0
154,449,FS,0,0,0,0
473,449,FS,0,0,0,0
154,450,FS,0,0,0,0
474,450,FS,0,0,0,0
154,451,FS,0,0,0,0
475,451,FS,0,0,0,0
154,452,FS,0,0,0,0
476,452,FS,0,0,0,0
154,453,FS,0,0,0,0
477,453,FS,0,0,0,0
430,406,FS,0,0,0,0
431,407,FS,0,0,0,0
432,408,FS,0,0,0,0
433,409,FS,0,0,0,0
434,410,FS,0,0,0,0
435,411,FS,0,0,0,0
436,412,FS,0,0,0,0
437,413,FS,0,0,0,0
438,414,FS,0,0,0,0
439,415,FS,0,0,0,0
440,416,FS,0,0,0,0
441,417,FS,0,0,0,0
442,418,FS,0,0,0,0
443,419,FS,0,0,0,0
445,421,FS,0,0,0,0
444,420,FS,0,0,0,0
446,422,FS,0,0,0,0
447,423,FS,0,0,0,0
448,424,FS,0,0,0,0
449,425,FS,0,0,0,0
450,426,FS,0,0,0,0
451,427,FS,0,0,0,0
452,428,FS,0,0,0,0
453,429,FS,0,0,0,0
75,76,FS,0,0,0,0
76,77,FS,0,0,0,0
77,82,FS,0,0,0,0
17,82,FS,0,1,5,0
82,81,FS,0,0,0,0
84,85,SS,0,8,4,0
85,86,FS,0,0,0,0
86,87,FS,0,0,0,0
87,88,FS,0,0,0,0
88,89,FS,0,0,0,0
89,90,FS,0,0,0,0
90,91,FS,0,0,0,0
81,94,FS,0,0,0,0
91,94,FS,0,0,0,0
94,95,FS,0,0,0,0
95,100,FS,0,0,0,0
100,101,FS,0,0,0,0
101,102,FS,0,0,0,0
104,105,FS,0,0,0,0
105,106,FS,0,0,0,0
106,107,FS,0,0,0,0
102,108,FS,0,0,0,0
107,108,FS,0,0,0,0
265,108,FS,0,0,0,0
266,108,FS,0,0,0,0
267,108,FS,0,0,0,0
268,108,FS,0,0,0,0
269,108,FS,0,0,0,0
270,108,FS,0,0,0,0
271,108,FS,0,0,0,0
272,108,FS,0,0,0,0
273,108,FS,0,0,0,0
274,108,FS,0,0,0,0
275,108,FS,0,0,0,0
276,108,FS,0,0,0,0
277,108,FS,0,0,0,0
278,108,FS,0,0,0,0
279,108,FS,0,0,0,0
280,108,FS,0,0,0,0
281,108,FS,0,0,0,0
282,108,FS,0,0,0,0
283,108,FS,0,0,0,0
284,108,FS,0,0,0,0
285,108,FS,0,0,0,0
286,108,FS,0,0,0,0
287,108,FS,0,0,0,0
288,108,FS,0,0,0,0
108,109,SS,0,0,5,0
109,110,FS,0,0,0,0
110,111,FS,0,0,0,0
111,112,FS,0,0,0,0
128,129,SS,0,7,1,0
129,131,FS,0,0,0,0
130,131,FS,0,0,0,0
133,134,FS,0,0,0,0
136,193,FS,0,0,0,0
137,138,FS,0,0,0,0
193,138,FS,0,0,0,0
138,139,FS,0,0,0,0
139,140,FS,0,0,0,0
140,141,FS,0,0,0,0
141,194,FS,0,0,0,0
126,149,FS,0,0,0,0
131,149,FS,0,0,0,0
134,149,FS,0,0,0,0
149,150,SS,0,0,0,0
138,150,FS,0,0,0,0
150,195,FS,0,0,0,0
195,151,FS,0,0,0,0
95,152,FS,0,0,0,0
151,152,FS,0,0,0,0
152,153,FS,0,0,0,0
153,154,FS,0,0,0,0
194,154,FS,0,0,0,0
156,157,FS,0,0,0,0
151,157,FS,0,0,0,0
157,158,FS,0,0,0,0
